text,sentiment,Content_Parsed
 Great to meet you! Thanks for the use of your umbrella...I hope you ate and got some sleep!,positive, great meet thank use umbrellai hope eat get sleep
.. good morning peoplee  looks like it`s going to be a nice day today! better than last week it was raining =(.,positive, good morning peoplee look like ` go nice day today better last week rain =(
_INTHEMAKING :aw,neutral,_inthemaking aw
": Omg! I never got your message so I didn`t notice until I was looking back a ways! Sorry, that was a good idea though...lol",neutral, omg never get message ` notice look back ways sorry good idea thoughlol
 and jarita i`m going home now and i`m with two hot guys  drool.,neutral, jarita ` go home ` two hot guy drool
Watching 'Hostage'! Also got an idea for that animation i`m making. Hope to have it ready and post a link here by the fifth of June,positive,watch 'hostage' also get idea animation ` make hope ready post link fifth june
I missed the bl***y bus!!!!!!!!,negative, miss bl*** bus
 I took my ring out...,neutral, take ring 
Which would be a lot easier to get if plane tickets to AZ didnt raise $80 in price,positive, would lot easier get plane ticket az didnt raise $80 price
 morning ashleighhh  x,neutral, morning ashleighhh x
 i dedicated that song to my VW when i sold it,neutral, dedicate song vw sell 
 not a fan,negative, fan
New baby doing well.  I will be attempting to do some more 'painting' this weekend.,positive,new baby well attempt 'painting' weekend
 thank you,positive, thank 
 hope y`all enjoy the MusicBoat Cruise.  What a tough job - haha!!!,neutral, hope ` enjoy musicboat cruise tough job - haha
 LOL freakinggg I worse a lookse shirt and shorts and sandals and it looks like its gonna rain outside  boo yahoo wearther,negative, lol freakinggg worse lookse shirt short sandals look like gonna rain outside boo yahoo wearther
 oh wow THANKS Wayne,positive, oh wow thank wayne
omg...did I just see a tweet from Miss Bonnie??? amazing...my phone died yesterday...and oster has alltel  I miss you,neutral,omgdid see tweet miss bonnie amazingmy phone die yesterdayand oster alltel miss 
HAPPY MOTHERS DAY TO ALL THE MOTHERS OUT THERE!!!!!!!,positive,happy mother day mother 
TGIF!! But I have so much work to do this weekend,neutral,tgif much work weekend
"driving home,Iï¿½m so tired,had a bad day",negative,drive homeiï¿½m tiredhad bad day
Today = marking *135,neutral,today = mark *135
: to triste,negative, triste
ScREW MY PHONE. ITS BROKEN. DONT BOTHER TEXTING.,negative,screw phone break dont bother texting
Visiting family in hospital = not fun,negative,visit family hospital = fun
Dinner and A Movie with the Hubby,neutral,dinner movie hubby
have yet to start this paper due tonight. i have no motivation,negative, yet start paper due tonight motivation
" Thanks. I am greedy, looking for a full fledged widget (a la twitter) so I can like and share from within NV. 2 much to expect?",positive, thank greedy look full fledge widget ( la twitter) like share within nv 2 much expect
 Very excited as we have just booked tickets to Vegas (we live in the UK) can`t believe the  price of the show tickets,neutral, excite book ticket vegas ( live uk) ` believe price show ticket
 lol   the things u gotta do sometimes man smh lol,neutral, lol things u gotta sometimes man smh lol
 Tracky Daks are one of the only good things about the weather getting colder. That and porridge. I just did both,positive, tracky daks one good things weather get colder porridge 
Less than 24 hrs until GRADUATION!!! Going out tonight to celebrate,neutral,less 24 hrs graduation go tonight celebrate
"Legend of Inotia ??????? ??????. ?????? ???????. ???? ??????? 31? ?????, ????? ?????? ???. ????????? ???? ?????? ????? ??????? ??????????",neutral,legend inotia 31 
" that`s half the solution, it doesn`t address the intrusion into the link-sharing process, but thanks",positive, ` half solution ` address intrusion link-sharing process thank
I need to burp ....  Im so nauseas....,negative, need burp im nauseas
not so good mood..,negative, good mood
 take a medicine,neutral, take medicine
 Joe`s version is pretty but it`s a sleeper.  Shouldn`t be played at 1am.,neutral, joe` version pretty ` sleeper ` play 1am
I`m going to bed ....it`s weird the 1st time in a long time.. He didn`t call and say goodnight  ... Ima lil curious,neutral,` go bed ` weird 1st time long time ` call say goodnight ima lil curious
I lost my voice,negative, lose voice
At work sick  but I`m ok to the mall!,negative, work sick ` ok mall
I wanna go see the cab really bad.,negative, wanna go see cab really bad
  really? ur a brave lady walkin around those lions then.  any other book suggestions?,positive, really ur brave lady walkin around lions book suggestions
" Unfortunately, no.",negative, unfortunately 
"has got my xbox back  , i have a really sore knee cant walk",negative, get xbox back really sore knee cant walk
I don`t think so  what time are we leacing,neutral, ` think time leacing
 was there going to be a recording of with the needle that stings in her heart on youtube or something? i missed the stream,negative, go record needle sting heart youtube something miss stream
" lucky you, all we`ve had is rain in the city today  enjoy! ;)",positive, lucky ` rain city today enjoy )
so bored. nothing to do,negative, bore nothing 
This song is a slap on you face!!  ? http://blip.fm/~5jib6,negative, song slap face http//blipfm/~5jib6
" naw, it doesnt match up LOL and i have no shenanigans to discuss...  but i did do the thing...",negative, naw doesnt match lol shenanigans discuss thing
 what you took your bracket off... ? And now it`s time for bed !,neutral, take bracket ` time bed 
 how come  its for us now to win ms twitter world.is it not working for you ?,neutral, come us win ms twitter worldis work 
 that sucks!  how old are you actually?,negative, suck old actually
Get: 'Fightstar - Mercury Summer' here: http://tinyurl.com/dbm4n6 from: http://tinyurl.com/cnkhev  #musicmonday #freemusic,neutral,get 'fightstar - mercury summer' http//tinyurlcom/dbm4n6 http//tinyurlcom/cnkhev #musicmonday #freemusic
"well no phone today, we are waiting till June 9th to get a better deal sooooo  but its all good",positive,well phone today wait till june 9th get better deal sooooo good
home from the beach and only my feet are burned. i am proud of myself and the sunscreen.,positive,home beach feet burn proud sunscreen
I love those creditcard-sized memory sticks. And Microsoft keeps sending them to me,positive, love creditcard-sized memory stick microsoft keep send 
"missing my hobo/****/tramp way of life, and cooking for my mother on a saturday night  MAMA I LUV U",negative,miss hobo/****/tramp way life cook mother saturday night mama luv u
Watching Miley Cyrus on youtube!,neutral,watch miley cyrus youtube
To eat or not to eat? Its gonna be my last meal for the next 2 weeks.,neutral, eat eat gonna last meal next 2 weeks
"Ach I`m back on t`internet, and  has to go drive her mate somewhere so is w`out internet",neutral,ach ` back `internet go drive mate somewhere w` internet
Working on some Product Buzz (product reviews) for the blog... have a pain in the back of my neck,negative,work product buzz (product reviews) blog pain back neck
Should I say goodnight or good morning?,neutral, say goodnight good morning
"Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad",negative,head gym group guy use go quitwell except brandon make terribly sad
 Also ,neutral, also 
 _lord Can`t we just all get along?,negative, _lord ` get along
Happy Mother`s Day to all you tweeting mothers,positive,happy mother` day tweet mother
" - l`d come if u could, but Australia is just too far away",negative, - l` come u could australia far away
 yessssss wore myself out this weekend planting my garden and working,neutral, yessssss wear weekend plant garden work
"Eh, I`ve had better. I`m excited to see ryan hurley tomorrow",positive,eh ` better ` excite see ryan hurley tomorrow
_Toni   i`m having one of those days today also,neutral,_toni ` one days today also
" Not a fan of the layout change of hyperlinks. I don`t like the indentation and, well, I`m clicking and no link shows.",negative, fan layout change hyperlinks ` like indentation well ` click link show
I just love when all my little brothers friends come over,positive, love little brothers friends come 
_h786 as ur coming on to here im just off to bed  hows ur day been? x,neutral,_h786 ur come im bed hows ur day x
I should be sleep. I have to wake up soooo early,neutral, sleep wake soooo early
 yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol,neutral, yeah dnt go 3 dif apps phone sad reason lol
http://tinyurl.com/d7tb38 Nice Photoshop Effects,positive,http//tinyurlcom/d7tb38 nice photoshop effect
at a auto shop getting m suv fix ugh more $   http://twitpic.com/66of2,neutral, auto shop get suv fix ugh $ http//twitpiccom/66of2
'family bird is the word' I <3 FAMILY GUY,neutral,'family bird word' <3 family guy
" haha well i was at my friend`s party, but then i realized i forgot my stepmom`s bday, so i had to come home to call her!",neutral, haha well friend` party realize forget stepmom` bday come home call 
"Trying to got through my 3,000 + unread e-mail messages. Looks like this what I`ll be doing for the rest of the evening.",neutral,try get 3000 + unread e-mail message look like ` rest even
I feel better today.,positive, feel better today
" Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer",neutral, thank tip unfortunately major crash https site extplorer
"one final down, two more to go!! wish me luck!! no a great effort!!",positive,one final two go wish luck great effort
Happy Mother`s Day 2 all the fabulous moms out there. The world wouldn`t run without us. Keep up the good work! Enjoy ur day,positive,happy mother` day 2 fabulous moms world ` run without us keep good work enjoy ur day
 I think i would die if they played Pushit. I missed them when they came last time. When Isis toured with them,negative, think would die play pushit miss come last time isis tour 
i love me some americana- but no movies to see,neutral, love americana- movies see
 Not had an offer like that for a while,neutral, offer like 
I am sad because I broke my super-awesome giant paper clip I was using for my Italy notes,negative, sad break super-awesome giant paper clip use italy note
Going to French. Anyone want to pick me up?,neutral,go french anyone want pick 
"goodnight loveee, i have to attend extra classes at school tmrw. urgh",positive,goodnight loveee attend extra class school tmrw urgh
 cool photo  is that outside your place?,neutral, cool photo outside place
"I had a realization today, and it made me sad  But at least the healing can begin.",negative, realization today make sad least heal begin
omg a rat... ewwwww. omg i cant wait for tha marra.. so ecxcited. annabel cant go tho,neutral,omg rat ewwwww omg cant wait tha marra ecxcited annabel cant go tho
Good morning.,positive,good morning
AHHHH! Cant find anything because I have way too much open,negative,ahhhh cant find anything way much open
Listening to Metal Shop at Mooneys!! All is good,positive,listen metal shop mooneys good
at work booo....,negative, work booo
Enjoying d view @ sg flyer,positive,enjoy view @ sg flyer
My computer is being killed by a combo of mirrors edge and really poor win7 thermal management...75c gpu = one sad game,negative, computer kill combo mirror edge really poor win7 thermal management75c gpu = one sad game
Very succesful Cancertown Launch yesterday,positive, succesful cancertown launch yesterday
 goodmorning/night to you too! sleep well,positive, goodmorning/night sleep well
"Slovakian country side is a refreshing change compared to tarmac and cars, but I am a city boy and need the tarmac",positive,slovakian country side refresh change compare tarmac cars city boy need tarmac
"Entering twitter `lurk` mode, time to lock the keyboard, just poured me a whiskey",neutral,enter twitter `lurk` mode time lock keyboard pour whiskey
its ok  saw u with joey thought u looked interesting like the same things on  #SanctuarySunday,positive, ok saw u joey think u look interest like things #sanctuarysunday
" you`re fine - trying to kill off the bots and retweets in a bid to be the least popular person on Twitter. Btw, who are you ??",neutral, ` fine - try kill bots retweets bid least popular person twitter btw 
"Change my hairstyle,but it isn`t good as it supposed to be N don`t wealth that much money..  hate that hairdresser~~",negative,change hairstylebut ` good suppose n ` wealth much money hate hairdresser~~
"Mahalo  great show!   aloha, thx for makin it out to Kauai, we enjoyed it!  Safe trip",positive,mahalo great show aloha thx makin kauai enjoy safe trip
 - I will see if there`s a used organ shop there & let you know. But why not just sign up to ejamming.com and rock out!,neutral, - see ` use organ shop & let know sign ejammingcom rock 
OMG - the M&Ms in my pantry are calling my name. I`ve been ignoring them all day. It is driving me completely insane. Too many calories,negative,omg - &ms pantry call name ` ignore day drive completely insane many calories
 Nice! What r ur plans for 2day? Oh n Happy Mothers Day if u happen 2 b a mother,positive, nice r ur plan 2day oh n happy mother day u happen 2 b mother
Yeahhhhhhhhhhhhh friday..and I work tomorrow,neutral,yeahhhhhhhhhhhhh fridayand work tomorrow
 i bet they will be great bags! Can`t wait!,positive, bet great bag ` wait
Site of our first date - Macri`s Deli - closed.  Lunching at favorite local Greek spot - The Trojan Horse - instead.,positive,site first date - macri` deli - close lunch favorite local greek spot - trojan horse - instead
just slammed my finger in a car dor  FML ow,negative, slam finger car dor fml ow
gets to get up at 8am tommorow to collect money for Relay for Life! Yay Me! I do not want to get up,neutral,get get 8am tommorow collect money relay life yay want get 
is going home... I`ve seriously had enough,negative, go home ` seriously enough
  was wong?,neutral, wong
  you aint invite me,neutral, aint invite 
hold on to what you`ve got,neutral,hold ` get
 oh cool you are coming to berlin    ! ! !,positive, oh cool come berlin 
" I had a joke for you, but it`s too long to tweet.",neutral, joke ` long tweet
I will never eat broadway pizza again.. feelin ill.,negative, never eat broadway pizza feelin ill
Gonna miss my gurl while shes on her honeymoon,negative,gonna miss gurl shes honeymoon
i can`t stop listening to  new single! (paranoid) it`s so amazing. i love them.,positive, ` stop listen new single (paranoid) ` amaze love 
****.. my legs are sun burned...,negative,**** legs sun burn
 you can turn the bird sounds off if you like in twitterena - check out settings from your home page,neutral, turn bird sound like twitterena - check settings home page
wants to greet all the moms a Happy Mother`s Day!!,positive,want greet moms happy mother` day
  NOooo FB has been good to me..especially for the love of conversation,positive, noooo fb good meespecially love conversation
_Cochran Hi Corey.. just saw your reply now.. here it is 5:30PM .. an I have a long night coming...,neutral,_cochran hi corey saw reply 530pm long night come
 : heheï¿½I bet you have never looked back!  3 weeks is a long school trip!,positive, heheï¿½i bet never look back 3 weeks long school trip
 swimming and tanning was heaven! i blasted music while tanning and was in my own world.,positive, swim tan heaven blast music tan world
"Ohhh me, i am rather bored. How can a friday night be soo boring!",negative,ohhh rather bore friday night soo bore
"Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,",positive,dlukasrossi lukas- amaze wife update lock hard convince people follow protect profile
is about to eat a hot link torta!!,neutral, eat hot link torta
installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,negative,instal new modem mean run 5 time faster old one slower hell gah slow internet kill 
" I`m not sure which part you`re replying to, lol - but BB starts soon",neutral, ` sure part ` reply lol - bb start soon
 think yourself lucky!  I also broke  all my fingers at school when a window sash broke with my fingers like pancakes on the sill,neutral, think lucky also break finger school window sash break finger like pancakes sill
  Wow.  I hope he gets better... cancer can GTFO.,positive, wow hope get better cancer gtfo
"get down tonight: http://bit.ly/QxXhi  the bridesmaids, moms, bride & I rockin` the reception",positive,get tonight http//bitly/qxxhi bridesmaids moms bride & rockin` reception
The parking meter computed 25 plus 25 is 40. I got jipped! And the 10 free minute button didn`t work.,negative, park meter compute 25 plus 25 40 get jipped 10 free minute button ` work
"Eating Which Wich, yumm! Dont think I`ve had it since the season ended",positive,eat wich yumm dont think ` since season end
.  he`s in bed sick. Heavy fever. Went to dr`s. Part of the reason i`m watching Aladdin 2 now and still haven`t been fed,negative, ` bed sick heavy fever go dr` part reason ` watch aladdin 2 still ` feed
 if u can smell goodness all around you and energy of big city and pinch on butt feel real YES u are in Chicago,neutral, u smell goodness around energy big city pinch butt feel real yes u chicago
"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can`t find any other shoes!",negative,take back horrible shoe mum make get urgggh nasty footwear problem ` find shoe
Already back from shopping and about to do a nice monday roast,positive,already back shop nice monday roast
_1210 I`m not going till Wednesday,neutral,_1210 ` go till wednesday
 I`ll stop by for a bit when I`m off.  But have to rush to rehearsal - no quiet for me tonight.,neutral, ` stop bite ` rush rehearsal - quiet tonight
 Aye. Now I want cheesecake,neutral, aye want cheesecake
asks thnx for gritiNg    take caRE Too  God BleSS http://plurk.com/p/rqo76,positive,ask thnx grit take care god bless http//plurkcom/p/rqo76
 hey rocstar,neutral, hey rocstar
ontd is our god,neutral,ontd god
" **** none. But yea last weekend was crazy, i think i partied to hard, thats why im sic.",neutral, **** none yea last weekend crazy think partied hard thats im sic
doesn`t get to see her fav5 today like planned,neutral,` get see fav5 today like plan
im soooo loney,negative,im soooo loney
Is hungry with a sub,neutral, hungry sub
is hoping that she left her bb at home and didn`t lose it on the Metro,positive, hop leave bb home ` lose metro
 What the hell Ross?! Where is Hugh Laurie! He was supposed to be on tonights show,neutral, hell ross hugh laurie suppose tonights show
 UMMMNNN ummmnnn good thanks for letting me know earlier... I ate already,positive, ummmnnn ummmnnn good thank let know earlier eat already
Got told I got a good chance at gettin the job  I am so so excited .omgggg. When I come back I want too...,positive,get tell get good chance gettin job excite omgggg come back want 
"Right folks, really must go now; have to babysit my nephew in the morning. Another early start. No Twilight time  Nare mind. Nightall. X",neutral,right folks really must go babysit nephew morning another early start twilight time nare mind nightall x
 I`m just sick of stupid guys but for a moment u make me believe not all of them suck then I get back to reality,negative, ` sick stupid guy moment u make believe suck get back reality
 wish i could  want to stay and play with u guys and enjoy a block party for once,positive, wish could want stay play u guy enjoy block party 
is saddened by Husker Access...no internet!,negative, sadden husker accessno internet
Oh ****!  I forgot to eat! Grumble grumble.,negative,oh **** forget eat grumble grumble
May 10 is Human Kindness Day.,neutral,may 10 human kindness day
"Kinda pissed really wanted to go see Drag me to Hell with Christina and Garrit, but I have to work till 2am  I`m go... http://znl.me/OSWGH",negative,kinda piss really want go see drag hell christina garrit work till 2am ` go http//znlme/oswgh
 aww...you`re such a softy...I can only imagine you a mess of tears at your own wedding...you won`t even be able to talk,neutral, awwyou` softyi imagine mess tear weddingyou ` even able talk
 I`m SO jealous- it`s pouring right now,negative, ` jealous- ` pour right 
sickkkkk.  GET ME OUT OF THIS HOUSE! need to get active. whats going down? Celina havin a party? hit me uhpp!,negative,sickkkkk get house need get active whats go celina havin party hit uhpp
At myhouse with the girls tonight,neutral, myhouse girls tonight
Happy Star Wars day!,positive,happy star war day
Away to the cinema tweet later may the 4th be with you all  x,neutral,away cinema tweet later may 4th x
I finally went and found some of the songs we sang in church in Wellington online. Was easier than expected - yay Google!  #fb,positive, finally go find songs sing church wellington online easier expect - yay google #fb
ahhhh now i have no pic,neutral,ahhhh pic
"First fail, cant tweet from phone. Oh how I love my work phone",neutral,first fail cant tweet phone oh love work phone
"says new layout! Back to default Plurk themes, yay. Pero dumugo ilong ko kaka-tweak sa font ha.  http://plurk.com/p/rprmr",neutral,say new layout back default plurk theme yay pero dumugo ilong ko kaka-tweak sa font ha http//plurkcom/p/rprmr
_NJ Oh! I`m only in my 7   I just joined Twitter a few days ago....,neutral,_nj oh ` 7 join twitter days ago
" It`s been fine for me for like, a week, but now it just won`t load.",neutral, ` fine like week ` load
 Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!,positive, thank lot ` kind get back nice drive 500 fun car drive nice day
 ahhh...Lily`s new kitten just took a giant wet stinky **** on me,negative, ahhhlily` new kitten take giant wet stinky **** 
 you said you **** up your nose!,negative, say **** nose
Wishes you had teased me with movie night,positive,wish tease movie night
"It`s this year. Can`t catch it, won`t be in NY till Oct 2010  http://bit.ly/AF8JT",neutral,` year ` catch ` ny till oct 2010 http//bitly/af8jt
My stomach is killing me do I can`t sleep,negative, stomach kill ` sleep
 Why?,neutral, 
 agreed,neutral, agree
Reese`s pieces ily,positive,reese` piece ily
 not the best way to start your day,positive, best way start day
Just ate way to many chocolate animal crackers,negative, eat way many chocolate animal crackers
 oh.. tnx for following cass.,neutral, oh tnx follow cass
 don`t know  and no not at all,negative, ` know 
'My problem isn`t that I miss you... `cause I don`t',neutral,' problem ` miss `cause `'
"omg! taylor and selena broke up  sooo sad, aw i think i actually like selena now. poor gal.",negative,omg taylor selena break sooo sad aw think actually like selena poor gal
 ten update away from 2000 whooo hoooo budden!,positive, ten update away 2000 whooo hoooo budden
_Attack thanks dude!,positive,_attack thank dude
It`s  last Friday today,neutral,` last friday today
Taylor Swift and Joe Jonas looked really good together. I`m kinda sad they broke up.,neutral,taylor swift joe jonas look really good together ` kinda sad break 
 You too sweetie,positive, sweetie
"_Kimbalicious you can have the milk i have, i only have that here to drink  i think thats whats making me feel sick",negative,_kimbalicious milk drink think thats whats make feel sick
Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,neutral,mom say get new phone immediatelyoff -mobile pay
 yooo myyyyye bust how I`m sick tooo... Just shoot me.  Long night tonight.,negative, yooo myyyyye bust ` sick tooo shoot long night tonight
 i wanna join the twit Club......,positive, wanna join twit club
i am a freshman in this site. how to update? help,neutral, freshman site update help
 nowhere babe  ice come to do a few jobs here this morning *sigh*,neutral, nowhere babe ice come job morning *sigh*
"Broke Up with girlfriend, FEELING Very lonely and heartbroken  Sad times guys (N)",negative,break girlfriend feel lonely heartbroken sad time guy (n)
"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner",neutral, finish sunday clean wait read next chapter kiyosaki` book hit cleaner
Why can`t I sleep ????? Is it too much to ask for :-P,neutral, ` sleep much ask -p
Gained 3lbs wish I could afford something other than top ramen... If only I had a job...,negative,gain 3lbs wish could afford something top ramen job
is drinking. Yay!,positive, drink yay
is a sleepyhead. looking forward to tomorrow. i love his family.,positive, sleepyhead look forward tomorrow love family
" what about the dilfs? Oh wait, wrong month....HAPPY MOTHERS DAY",positive, dilfs oh wait wrong monthhappy mother day
"alright, rawknroll.net live on radio23.org - next 2 hours of vivid spring to summer music  rawk on and enjoy!",positive,alright rawknrollnet live radio23org - next 2 hours vivid spring summer music rawk enjoy
 OMG.  I`m so sorry! Anything I can do to help?,negative, omg ` sorry anything help
dont wanna cry  but the seniors are out there graduating&its breakin my heart;but im home,negative,dont wanna cry seniors graduating& breakin heartbut im home
X-Men:Wolverine was hot! I say go watch it,positive,x-menwolverine hot say go watch 
  I should be doing history.....,neutral, history
 LOL! No trialing...for the most part Florida trials come to a screeching halt over the summer.  Have fun this weekend!,positive, lol trialingfor part florida trials come screech halt summer fun weekend
"Cleaning my roooooooooom, about to continue playing with my DSI",neutral,clean roooooooooom continue play dsi
Looking for a show to turn my brain into mush so it doesn`t hurt anymore  Any good FREE online ones you know of?,positive,look show turn brain mush ` hurt anymore good free online ones know 
"gooooooodmorning world(: god bless, and have a great day!",positive,gooooooodmorning world( god bless great day
 I think the x3 is confusing ;-) can`t believe that many peeps will know that it should be a heart,negative, think x3 confuse -) ` believe many peep know heart
" Thanks, glad you agree wth my follow or not policy",positive, thank glad agree wth follow policy
 Wish I was there!,neutral, wish 
"I`m so unhappy being here. I hate it. It`s affecting everything. My relationships with people, my personality, my attitude...",negative,` unhappy hate ` affect everything relationships people personality attitude
 My iPod headphones have gone kaput.  Wanted to buy new ones. Should I buy some Bose instead then? Do they work with Apple?,negative, ipod headphones go kaput want buy new ones buy bose instead work apple
E3 2009 will be the first time I will not get to see G4TV`s E3 coverage since Comcast moved the  G4 channel from basic cable to premium,neutral,e3 2009 first time get see g4tv` e3 coverage since comcast move g4 channel basic cable premium
On the bus goin 2 work but omg seriously im sooooo tired dont know if i`ll survive the 8 hour shift,negative, bus goin 2 work omg seriously im sooooo tire dont know ` survive 8 hour shift
Boy is going to a movie. I wish I didn`t feel like ****.,negative,boy go movie wish ` feel like ****
I didn`t get my q`doba today! sad,negative, ` get q`doba today sad
ahh..my stomach hurts,negative,ahhmy stomach hurt
"_xo  wicked , what time you leaving? how come you cant stay the night",negative,_xo wicked time leave come cant stay night
" nope  i wasn`t home went it was on but i will soon,",neutral, nope ` home go soon
" lol, my current mp3 player is a brick. It would be nice to have something slim",positive, lol current mp3 player brick would nice something slim
"'Hi Im Jonathan from Spotify, 4 just 9.99 a month u cn have unlimited music w/ no interuptions' But I luv r little chats J, dont leave me",positive,'hi im jonathan spotify 4 999 month u cn unlimited music w/ interuptions' luv r little chat j dont leave 
" lol fine, I go for her too",neutral, lol fine go 
 OMG I am @ the hair salon. *tears*  I hope I get out of here soon. We watching the Real House wives of NYC in here.,positive, omg @ hair salon *tears* hope get soon watch real house wive nyc 
 and  thanks  hoping its just allergies and not a nasty flu!,positive, thank hop allergies nasty flu
i love the music video of you belong with me by taylor,positive, love music video belong taylor
 http://twitpic.com/67uc7 - can you lend me one? I have a cold too,negative, http//twitpiccom/67uc7 - lend one cold 
Got an appt. w/ the doctor at 4pm today to look at these 'bites'. Hoping it isn`t an infection. I need more powerful anti-itch cream.,neutral,get appt w/ doctor 4pm today look 'bites' hop ` infection need powerful anti-itch cream
"Finally in my bed, & I must say, I had quite an evening. I`m ready to tackle this work week & see what next weekend has in store for me",neutral,finally bed & must say quite even ` ready tackle work week & see next weekend store 
"  it was just true  and you do cause me to having dirty thoughts lol well also some other dude, huh? ;) xoxo",negative, true cause dirty thoughts lol well also dude huh ) xoxo
" Maybe u should get a coffee machine at your new desk, seems appropriate",positive, maybe u get coffee machine new desk seem appropriate
 are you all going without me,neutral, go without 
" concur with http://tr.im/kmVl, but people can`t wait. Don`t stop making VAS. When clouds become a commodity, do 'cross-cloud'",neutral, concur http//trim/kmvl people ` wait ` stop make vas cloud become commodity 'cross-cloud'
 Helloooo (: Star Wars day is cool  LOOL. Wen do you go to Cnaterbury then ? x,positive, helloooo ( star war day cool lool wen go cnaterbury x
 It`s not as bad if you don`t combine. FX are nice. I like Windows 7 1000x better than Vista so far. To me Vista is Win ME reborn,positive, ` bad ` combine fx nice like windows 7 1000x better vista far vista win reborn
"BTW, hey ppl. lol TGIF. Hopefully ur day is gr8. Mine is aight. Feeling like it kinda sux I got no plans 4 the wknd....",positive,btw hey ppl lol tgif hopefully ur day gr8 mine aight feel like kinda sux get plan 4 wknd
Tapit:E446WWHLLYAR TK3H6694PRMP 9R46TAHXEFKT please @ reply me if you win! Thanks!,neutral,tapite446wwhllyar tk3h6694prmp 9r46tahxefkt please @ reply win thank
taking in the local art,neutral,take local art
new photo   im hungry...getting off the computer now!,neutral,new photo im hungrygetting computer 
" well at least they have good taste in art,cabinet appts.not so much",positive, well least good taste artcabinet apptsnot much
just got home from school and from the wake of my friend`s father.  so tired..,negative, get home school wake friend` father tire
", I`d love it if you haven`t had any takers yet",neutral, ` love ` takers yet
I right here...don`t worry,negative, right heredon` worry
"now it`s weekend! It`s so great!  I saw the rest of Twilight tonight, and i also have read fininsh  Break for know.. Could I do that?",positive, ` weekend ` great saw rest twilight tonight also read fininsh break know could 
" I just wanted to say, that you have the best screen name ever. That is all.",positive, want say best screen name ever 
 wasnt it sad?  was the 3d good?,negative, wasnt sad 3d good
cannot sleep i`m SUPER DUPER DUPER excited pour la PARIS.  the love city.,positive,cannot sleep ` super duper duper excite pour la paris love city
" I`m 3 days late, but happy birthday  Hahahaha",positive, ` 3 days late happy birthday hahahaha
 I`ll help if you pay for my reactivation,positive, ` help pay reactivation
one week till exam block,neutral,one week till exam block
I need one more follower.,neutral, need one follower
 hiii im on my ipod...i cant fall asleep,neutral, hiii im ipodi cant fall asleep
my birthday chicken  http://bit.ly/whbuv,neutral, birthday chicken http//bitly/whbuv
 haha. I know. And then I need a new car too. Oh ps I got a speeding ticket.,neutral, haha know need new car oh ps get speed ticket
 its so sad how dead it is.,negative, sad dead 
 dont cry for me! i will see u tomorrow.  muah.,positive, dont cry see u tomorrow muah
 Chocolate with peanut butter. One of my favorite combonations,positive, chocolate peanut butter one favorite combonations
  have a glass of cold water and meditate a bit. <3,positive, glass cold water meditate bite <3
10 more minutes and i never have this class again. Its kinda sad cause this class is so fun,neutral,10 minutes never class kinda sad cause class fun
Hmph. This is nowhere near as effective as it was a few mins ago. I wonder if it was a coincidence. FOLLOWERS: please report ur findings,negative,hmph nowhere near effective mins ago wonder coincidence followers please report ur find
Back at the vet and it isn`t good,negative,back vet ` good
"had a great time last night, but my eye is burning !!! it hurts bad",neutral, great time last night eye burn hurt bad
"In honour of #starwarsday, I have fired up a New Hope in the DVD player in full THX glory",neutral, honour #starwarsday fire new hope dvd player full thx glory
" well sadly I live in the most boring city in the USA, so there is nothing to do here.",negative, well sadly live bore city usa nothing 
i need some hot green tea  I cant sleep  ....,negative, need hot green tea cant sleep 
salt and vinegar,neutral,salt vinegar
 I can`t direct message you for my free lunch,negative, ` direct message free lunch
 Sorry about that. I got behind on followers and am still catching up.  I follow folks that @ me (including you,negative, sorry get behind followers still catch follow folks @ (including 
my bf had to go to her dads for the week end. i will have 2 full days of bordom.,negative, bf go dads week end 2 full days bordom
I`m a new french girl in Twitter! And I speak English very bad,negative,` new french girl twitter speak english bad
" Yeah it did, it explained everything",neutral, yeah explain everything
" Yup, us too. Spending time with Mom, Sis and Aunt  Have A great Mothers Day!",positive, yup us spend time mom sis aunt great mother day
 waaa you too,neutral, waaa 
Why hasn`t he called. I`m being blown off yet again.,negative, ` call ` blow yet 
I went over the limit for actions per hour for twitter clients.  i hate that limit.,negative, go limit action per hour twitter clients hate limit
I need a break... PFFF... Work Sucksss Will be in Myrtle Beach SC in 45 days...  things like that make me soooo happy woeiwoeiwoei,neutral, need break pfff work suck myrtle beach sc 45 days things like make soooo happy woeiwoeiwoei
Sunburnt  Gutted! Hope it`s faded by tmw!,negative,sunburnt gutted hope ` fade tmw
